total 187 case




case name -->  dx11_driverscripts 		result -->  GOOD_REF 		Variant name -->  test_dx10
case name -->  ogl_randomtstrips_pointfilled 		result -->  GOOD 		Variant name -->  500t_f_8888_fpmn
case name -->  ogl_randomfans_linefilled_4xmsaa 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomfans_linefilled_4xmsaa 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  dx_randomtriangles_linefilled_4xmsaa 		result -->  GOOD_REF 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  ogl_randomfans_linefilled 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomfans_linefilled 		result -->  GOOD 		Variant name -->  1t_f_sp_8888_fpmn
case name -->  dx_condinst 		result -->  GOOD_REF 		Variant name -->  vscallretcret
case name -->  dx_condinst 		result -->  GOOD_REF 		Variant name -->  pscallcret
case name -->  ogl_addressmodes 		result -->  GOOD 		Variant name -->  2101010_fbmn_1x1
case name -->  ogl_addressmodes 		result -->  GOOD 		Variant name -->  2101010_fbmn_1x4095
case name -->  ogl_randomfans_pointfilled 		result -->  GOOD 		Variant name -->  1t_f_8888_fpmn
case name -->  ogl_randomfans_pointfilled 		result -->  GOOD 		Variant name -->  1t_g_8888_fpmn
case name -->  ogl_randomfans_pointfilled 		result -->  GOOD 		Variant name -->  500t_f_8888_fpmn
case name -->  ogl_randomfans_linefilled_2xmsaa 		result -->  GOOD 		Variant name -->  1t_g_8888_fpmn
case name -->  ogl_randomfans_linefilled_2xmsaa 		result -->  GOOD 		Variant name -->  1t_g_sp_8888_fpmn
case name -->  es2_milestone_1 		result -->  GOOD_REF 		Variant name -->  milestone_128x128
case name -->  ogl_randomtriangles 		result -->  GOOD 		Variant name -->  100t_g_8888_fpmn
case name -->  ogl_randomtstrips_linefilled_2xmsaa 		result -->  GOOD 		Variant name -->  500t_g_sp_8888_fpmn
case name -->  ogles2_auishaderbench 		result -->  GOOD 		Variant name -->  test07
case name -->  ogl_zloadstore 		result -->  GOOD 		Variant name -->  2t_128x128_d16_unorm
case name -->  ogl_zloadstore 		result -->  GOOD 		Variant name -->  2t_128x128_d24_unorm_s8_uint
case name -->  ogl_zloadstore 		result -->  GOOD 		Variant name -->  2t_128x128_d32_float
case name -->  ogl_culling 		result -->  GOOD_REF 		Variant name -->  randomtriangles_400
case name -->  ogles1_gridmark 		result -->  GOOD 		Variant name -->  TexFilter2_Linear
case name -->  ogles1_gridmark 		result -->  GOOD 		Variant name -->  TexFilter4_Linear_Mipmap_Nearest
case name -->  dx11_addressmodes 		result -->  GOOD_REF 		Variant name -->  r16_float_fbmt_1x1
case name -->  dx11_addressmodes 		result -->  GOOD 		Variant name -->  bc1_unorm_fbmt_7x9
case name -->  es2_milestone_4 		result -->  GOOD 		Variant name -->  milestone_128x128
case name -->  ogl_randomtriangles_linefilled_2xmsaa 		result -->  GOOD 		Variant name -->  100t_f_sp_8888_fpmn
case name -->  ogl_randomtriangles_linefilled_2xmsaa 		result -->  GOOD 		Variant name -->  500t_f_8888_fpmn
case name -->  ogl_multiframe 		result -->  GOOD 		Variant name -->  1t_f_10frames
case name -->  OGLES2GridMark3 		result -->  GOOD 		Variant name -->  bench6
case name -->  OGLES2GridMark3 		result -->  GOOD 		Variant name -->  bench3
case name -->  OGLES2GridMark3 		result -->  GOOD_REF 		Variant name -->  bench7
case name -->  OGLES2GridMark3 		result -->  GOOD 		Variant name -->  bench0
case name -->  OGLES2GridMark3 		result -->  GOOD_REF 		Variant name -->  bench1
case name -->  OGLES2GridMark3 		result -->  GOOD 		Variant name -->  bench5
case name -->  ogl_depthbias 		result -->  GOOD 		Variant name -->  largez_largebias_translucent
case name -->  ogl_depthbias 		result -->  GOOD 		Variant name -->  normalz_neg1_1_bias
case name -->  ogl_depthbias 		result -->  GOOD 		Variant name -->  normalz_normalbias_translucent
case name -->  dx_alphatestsplit 		result -->  GOOD_REF 		Variant name -->  short_dfc_noblend_noaa
case name -->  dx_alphatestsplit 		result -->  GOOD 		Variant name -->  short_long_blend_noaa
case name -->  dx_alphatestsplit 		result -->  GOOD_REF 		Variant name -->  short_short_noblend_noaa
case name -->  dx_alphatestsplit 		result -->  GOOD_REF 		Variant name -->  short_long_noblend_noaa
